,code,target_date,min_distance,min_s_distance,min_l_p_distance,min_l_p_v_distance,min_distance_name,matching_period
348,600523,20260119,77.82715850234986,205.57656322546782,31.75367668486814,16.570216323122683,瑞达期货-20251020-20251107,['20251226']-['20260119']
364,603822,20260119,78.58774055409576,224.428969143084,7.893602231684767,22.227422854162796,瑞达期货-20251020-20251107,['20251226']-['20260119']
262,601688,20260119,79.3418822715053,229.46737983746618,15.04926606150042,14.96722125453833,瑞达期货-20251020-20251107,['20251226']-['20260119']
345,603228,20260119,79.41855865392523,208.12254963022076,29.134075132828766,20.60392806252594,瑞达期货-20251020-20251107,['20251226']-['20260119']
107,603668,20260119,80.18283629335532,181.43380742956873,64.29161090793764,16.163026980258554,瑞达期货-20251020-20251107,['20251226']-['20260119']
44,300493,20260119,80.21501981632888,225.3208127021464,20.224428929688465,16.378618316946042,瑞达期货-20251020-20251107,['20251226']-['20260119']
212,002492,20260119,80.32176455537757,252.94175975138472,2.3472703929653282,9.337638780181388,中信证券-20240708-20240730,['20251224']-['20260119']
106,300627,20260119,80.62595166316686,221.40815312298201,22.06050447037698,18.963385962897924,瑞达期货-20251020-20251107,['20251226']-['20260119']
264,301319,20260119,80.63948870403703,180.16626496038293,63.55473736452071,18.80797001641485,瑞达期货-20251020-20251107,['20251226']-['20260119']
27,600936,20260119,81.63795331539384,210.1398237290057,37.00890630127016,18.733335765777696,瑞达期货-20251020-20251107,['20251226']-['20260119']
62,300455,20260119,81.75323960767663,217.75448770734667,12.18701320666651,31.926973333681733,瑞达期货-20251020-20251107,['20251226']-['20260119']
396,002179,20260119,81.88053104197918,233.84643907443268,17.226145974773807,16.39688881804311,瑞达期货-20251020-20251107,['20251226']-['20260119']
22,600061,20260119,82.16552400478605,245.4029519926312,11.733061258431581,12.561800073668035,航天发展-20251017-20251112,['20251222']-['20260119']
148,300590,20260119,82.2046799928339,234.69354129307317,21.754229402744578,13.175871960221462,瑞达期货-20251020-20251107,['20251226']-['20260119']
228,601666,20260119,82.24130787697781,253.46508171406205,9.559881719734616,8.33454711709704,中信证券-20240708-20240730,['20251224']-['20260119']
121,603279,20260119,82.70140947991551,259.784700313998,5.721437556354767,7.623920297024254,华纳药厂-20250409-20250512,['20251218']-['20260119']
215,603919,20260119,82.93444328544673,263.08607150992043,2.0622774713372576,8.474846477673601,中信证券-20240708-20240730,['20251224']-['20260119']
196,601089,20260119,82.96372654384365,216.42162266600525,38.79420273544994,15.997447308517751,瑞达期货-20251020-20251107,['20251226']-['20260119']
50,300901,20260119,82.97554946181245,244.78779221327386,11.055385165838057,15.556490620197161,瑞达期货-20251020-20251107,['20251226']-['20260119']
138,688658,20260119,83.18035655656585,238.58881771389943,8.435299759966533,22.682803286015158,航天发展-20251017-20251112,['20251222']-['20260119']
113,688316,20260119,83.4588160964344,245.70853217735032,12.516593934451926,14.978195657234316,华纳药厂-20250409-20250512,['20251218']-['20260119']
379,605289,20260119,83.48671094504387,242.48203473463667,11.786268704021232,18.015549783616255,中信证券-20240708-20240730,['20251224']-['20260119']
370,601628,20260119,83.65256816040359,254.02238711641968,6.405557630503305,13.81046184081677,瑞达期货-20251020-20251107,['20251226']-['20260119']
42,688439,20260119,83.67798143879789,247.30611644473692,11.806435557476757,14.860539595334458,华纳药厂-20250409-20250512,['20251218']-['20260119']
110,002261,20260119,83.78919732989172,251.30562814879278,8.61498148451825,14.53253609974602,华纳药厂-20250409-20250512,['20251218']-['20260119']
161,600165,20260119,84.02071831179857,238.3541038864915,15.182133752590708,19.89961755018481,瑞达期货-20251020-20251107,['20251225']-['20260119']
75,688007,20260119,84.20415331006676,242.62487146512422,9.16942639789762,21.66465987790052,华纳药厂-20250409-20250512,['20251218']-['20260119']
291,002898,20260119,84.28487367829452,259.20003925297107,1.7303799732262282,15.014369776088337,中信证券-20240708-20240730,['20251224']-['20260119']
341,000973,20260119,84.3032416153709,248.15682951228277,12.029380798056224,15.618446305672972,华纳药厂-20250409-20250512,['20251218']-['20260119']
268,300213,20260119,84.64037477894702,229.86686021881292,31.08027111965966,15.890588443513115,瑞达期货-20251020-20251107,['20251226']-['20260119']
198,002268,20260119,84.76328290873938,254.772550032393,14.241277528643243,10.147836601071258,微芯生物-20250527-20250620,['20251223']-['20260119']
86,002212,20260119,84.77080403948705,263.5575974736313,5.121913696106371,10.417376721414383,中信证券-20240708-20240730,['20251224']-['20260119']
142,600363,20260119,84.8461697465336,237.93004915536272,28.808756600252764,12.061320049622372,航天发展-20251017-20251112,['20251222']-['20260119']
390,002025,20260119,84.89146786601172,249.50129694238353,9.014030048261853,18.34217442204531,瑞达期货-20251020-20251107,['20251226']-['20260119']
257,600186,20260119,85.27404813629033,195.56647354664165,66.7501268024687,16.447670078893054,瑞达期货-20251020-20251107,['20251226']-['20260119']
206,300834,20260119,85.59624347402611,270.641246740243,3.118475681664461,8.670816868634674,中信证券-20240708-20240730,['20251224']-['20260119']
97,600064,20260119,85.9778953451596,251.66281895216062,15.29945884838561,14.723030012489362,瑞达期货-20251020-20251107,['20251226']-['20260119']
369,002634,20260119,86.08940339251191,226.13182883217877,43.40173550133451,13.073335231144824,中铝国际-20250923-20251020,['20251229']-['20260119']
269,301119,20260119,86.10305727241081,224.06155059098367,37.66153229154317,18.96533101913188,瑞达期货-20251020-20251107,['20251226']-['20260119']
28,603230,20260119,86.14779280755118,262.53385341193245,13.157387281139872,8.601051499073677,中铝国际-20250923-20251020,['20251229']-['20260119']
265,688251,20260119,86.14801142087633,243.5234378235829,23.919176843765843,14.788067551679278,瑞达期货-20251020-20251107,['20251226']-['20260119']
49,300134,20260119,86.2850355015529,243.38881967963948,22.51796638240036,16.28249920735237,瑞达期货-20251020-20251107,['20251226']-['20260119']
114,688302,20260119,86.69904608876061,246.1888085479024,24.207688708232915,13.950242279800039,瑞达期货-20251020-20251107,['20251226']-['20260119']
222,300177,20260119,86.74742671448405,240.97514626767835,26.216203819740024,16.47505422064636,瑞达期货-20251020-20251107,['20251226']-['20260119']
339,002631,20260119,86.78602748707111,263.5052954480917,12.38649821188237,10.046223472697214,华纳药厂-20250409-20250512,['20251218']-['20260119']
61,688400,20260119,86.8673963297309,219.11832388395388,44.70676312228331,19.29967556964937,瑞达期货-20251020-20251107,['20251226']-['20260119']
277,000678,20260119,86.89609569339655,232.8952617059664,29.063384428430687,20.77125463269353,瑞达期货-20251020-20251107,['20251226']-['20260119']
88,301589,20260119,87.09391706243025,271.07337256754795,4.702566540816514,10.902838324802268,航天发展-20251017-20251112,['20251222']-['20260119']
352,002027,20260119,87.42732035611502,230.26638830038087,42.44669561170791,14.033487956220958,瑞达期货-20251020-20251107,['20251226']-['20260119']
3,600909,20260119,87.99441451156821,268.8071751709303,11.81696422874541,9.517931729163745,航天发展-20251017-20251112,['20251222']-['20260119']
354,605088,20260119,88.04147271009325,192.12524034728528,77.53022304206024,17.862084233224,瑞达期货-20251020-20251107,['20251226']-['20260119']
2,301189,20260119,88.06214215045162,261.6005753321276,8.983455763525898,17.217332054388912,华纳药厂-20250409-20250512,['20251218']-['20260119']
279,002709,20260119,88.49067027828781,257.73580217136464,6.315601191386852,23.188123173655924,华纳药厂-20250409-20250512,['20251218']-['20260119']
207,603660,20260119,88.776972725901,236.80492913446574,42.85675783892072,12.196166584712717,航天发展-20251017-20251112,['20251222']-['20260119']
361,688385,20260119,88.8899828409538,251.64432900724003,17.984496651782447,20.003337858117643,瑞达期货-20251020-20251107,['20251226']-['20260119']
375,600736,20260119,88.95007236887356,273.4036107566362,12.180156002436213,8.187355852879563,华纳药厂-20250409-20250512,['20251218']-['20260119']
205,688486,20260119,89.09292219002062,255.4598941930293,19.682065939202804,16.37583537587746,瑞达期货-20251020-20251107,['20251226']-['20260119']
169,300542,20260119,89.11108956680503,252.04196582153853,23.556712261946107,16.07871535439913,瑞达期货-20251020-20251107,['20251226']-['20260119']
15,605086,20260119,89.18002876177695,266.4992718312611,8.708860951665946,16.54397231724711,微芯生物-20250527-20250620,['20251223']-['20260119']
201,600157,20260119,89.24554979788,245.4635509126574,32.569482901324925,14.589099134213281,瑞达期货-20251020-20251107,['20251226']-['20260119']
108,002739,20260119,90.34618125974272,201.87653485243945,76.43057246769881,17.13512265925313,瑞达期货-20251020-20251107,['20251226']-['20260119']
65,600271,20260119,90.69760169825432,278.45139253841137,10.184800146143612,10.266859732219574,微芯生物-20250527-20250620,['20251223']-['20260119']
152,003009,20260119,90.73444367983078,270.4753623877931,8.844812631150331,17.345977935369337,微芯生物-20250527-20250620,['20251223']-['20260119']
393,603809,20260119,90.83730291664271,268.67639436005913,11.34710354009488,17.075633866491273,瑞达期货-20251020-20251107,['20251226']-['20260119']
89,603169,20260119,90.84926150611221,226.59153896669383,57.50344139679326,14.051918492665228,瑞达期货-20251020-20251107,['20251226']-['20260119']
176,688070,20260119,90.91788026247153,262.70648418329154,12.490575558866567,20.896905849560227,微芯生物-20250527-20250620,['20251223']-['20260119']
289,000686,20260119,91.09788108544869,252.5478189769337,30.803459621532458,15.231243764772085,瑞达期货-20251020-20251107,['20251226']-['20260119']
359,600640,20260119,91.40466017500746,257.13738980413746,33.62110272411695,10.44278104132786,中信证券-20240708-20240730,['20251224']-['20260119']
8,002955,20260119,91.51985825745379,222.60701230240318,60.853777687862696,16.20405315093509,瑞达期货-20251020-20251107,['20251226']-['20260119']
94,688562,20260119,91.5660467139467,259.65455648292846,16.47661489905175,21.81673824838159,瑞达期货-20251020-20251107,['20251226']-['20260119']
386,300489,20260119,91.7103597636459,283.7705514968268,6.840961766557186,11.31726446157678,微芯生物-20250527-20250620,['20251223']-['20260119']
323,002036,20260119,91.7374411810917,269.5246265440754,16.31762904038751,14.9619112643821,瑞达期货-20251020-20251107,['20251226']-['20260119']
302,600135,20260119,91.78321282446016,275.09326324298763,14.357473556480569,12.369979461549272,航天发展-20251017-20251112,['20251222']-['20260119']
99,300579,20260119,91.7865033118574,273.1015676125786,17.204376700911105,11.736800044526248,航天发展-20251017-20251112,['20251222']-['20260119']
304,002544,20260119,91.86744780122827,199.44314766516322,82.5155435962915,18.199601056979642,瑞达期货-20251020-20251107,['20251226']-['20260119']
331,688141,20260119,91.92260423935885,271.84349748313156,11.573511650621938,17.243753748082007,瑞达期货-20251020-20251107,['20251226']-['20260119']
178,002099,20260119,91.95807886390831,223.68614245403987,62.64154803912337,15.149429289898372,瑞达期货-20251020-20251107,['20251226']-['20260119']
126,300963,20260119,91.98437662429266,271.0937459208999,10.787159660158204,18.550262374938097,瑞达期货-20251020-20251107,['20251226']-['20260119']
163,301066,20260119,92.20274453568311,218.03521670937207,66.91775870120517,16.792129781274852,瑞达期货-20251020-20251107,['20251226']-['20260119']
285,300399,20260119,92.27861387604368,253.21812326842337,33.621882977464765,15.56653000569311,航天发展-20251017-20251112,['20251222']-['20260119']
337,688009,20260119,92.55143494797753,264.34870970691685,24.421245487049212,14.801120974469258,瑞达期货-20251020-20251107,['20251226']-['20260119']
246,002078,20260119,92.60011386224822,223.85082926867332,65.40605297322256,14.55762297419866,瑞达期货-20251020-20251107,['20251226']-['20260119']
